school_id,teacher_id,yearsp,class_size
1,4,2007,24
1,125,2007,16
1,140,2007,18
1,307,2007,25
1,430,2007,24
1,510,2007,20
1,523,2007,17
1,524,2007,17
1,545,2007,21
1,626,2007,19
1,829,2007,23
1,865,2007,11
1,927,2007,17
1,1066,2007,18
1,1227,2003,14
1,1227,2004,17
1,1227,2005,28
1,1227,2006,27
1,1227,2008,31
1,1227,2009,2
1,1227,2010,21
1,1227,2011,22
1,1227,2012,20
1,1227,2013,17
1,1404,2004,18
1,1404,2005,17
1,1404,2006,17
1,1421,2004,30
1,1524,2012,18
1,1524,2013,15
1,1589,2003,18
1,1589,2004,20
1,1589,2005,20
1,1589,2006,17
1,1589,2008,18
1,1589,2009,16
1,1589,2010,14
1,1589,2011,19
1,1654,2003,16
1,1654,2004,17
1,1654,2005,19
1,1654,2006,19
1,1654,2008,16
1,1654,2009,24
1,1654,2010,29
1,1654,2011,24
1,1654,2012,24
1,1654,2013,21
1,1729,2003,27
1,1729,2004,25
1,1765,2003,15
1,1765,2004,15
1,1809,2003,18
1,1809,2004,14
1,1809,2005,24
1,1809,2006,23
1,1864,2013,18
1,1970,2010,7
1,2114,2010,15
1,2114,2011,2
1,2120,2003,5
1,2142,2003,18
1,2142,2004,19
1,2142,2005,14
1,2169,2003,27
1,2169,2004,26
1,2169,2005,27
1,2169,2006,24
1,2169,2008,31
1,2169,2009,31
1,2169,2010,30
1,2169,2011,29
1,2169,2012,20
1,2169,2013,22
1,2370,2003,2
1,2489,2003,26
1,2535,2003,29
1,2535,2004,29
1,2535,2005,27
1,2535,2006,21
1,2535,2008,30
1,2535,2009,28
1,2535,2010,29
1,2535,2011,26
1,2535,2012,22
1,2535,2013,29
1,2731,2003,14
1,2776,2003,16
1,2776,2004,13
1,2776,2005,18
1,2776,2006,18
1,2780,2003,20
1,2780,2005,17
1,2820,2004,17
1,2820,2005,17
1,2820,2006,17
1,2820,2008,18
1,2820,2009,13
1,2820,2012,19
1,2820,2013,18
1,2822,2003,17
1,2822,2004,17
1,2822,2005,13
1,2822,2006,17
1,2822,2008,17
1,2822,2009,4
1,2822,2010,19
1,2822,2011,16
1,2841,2003,12
1,2841,2004,17
1,2841,2005,18
1,2841,2006,14
1,2841,2009,15
1,2886,2003,18
1,2886,2004,17
1,2886,2005,28
1,2886,2006,17
1,2949,2003,16
1,2986,2012,20
1,3145,2003,22
1,3145,2004,24
1,3145,2005,14
1,3145,2006,15
1,3145,2008,17
1,3145,2009,21
1,3354,2012,18
1,3354,2013,18
1,3535,2003,16
1,3610,2003,19
1,3610,2004,14
1,3610,2005,18
1,3735,2006,19
1,3735,2008,27
1,3735,2012,18
1,3735,2013,30
1,3826,2003,5
1,3826,2004,9
1,3826,2005,12
1,3826,2006,12
1,3826,2008,12
1,3826,2009,6
1,3826,2010,14
1,3826,2011,18
1,3826,2012,15
1,3826,2013,20
1,3853,2003,7
1,3853,2006,19
1,3965,2003,26
1,3965,2004,22
1,3965,2005,26
1,3994,2003,22
1,4309,2009,10
1,4352,2004,26
1,4352,2005,28
1,4352,2006,27
1,4357,2003,2
1,4357,2004,17
1,4445,2005,15
1,4445,2006,20
1,4445,2008,13
1,4445,2009,3
1,4514,2004,24
1,4514,2005,25
1,4695,2005,15
1,4795,2010,10
1,4905,2006,25
1,4978,2006,20
1,5106,2011,21
2,111,2007,33
2,188,2007,17
2,280,2007,20
2,382,2007,19
2,755,2007,32
2,845,2007,17
2,1008,2007,18
2,1087,2007,24
2,1143,2007,10
2,1212,2003,15
2,1212,2004,18
2,1259,2007,12
2,1259,2008,15
2,1259,2009,13
2,1259,2010,9
2,1541,2003,19
2,1541,2004,17
2,1541,2005,18
2,1541,2006,30
2,1541,2008,23
2,1541,2009,25
2,1541,2010,26
2,1541,2011,23
2,1541,2012,30
2,1541,2013,35
2,1604,2003,31
2,1604,2004,25
2,1604,2005,23
2,1710,2005,2
2,1782,2005,20
2,1782,2006,20
2,1782,2008,18
2,2096,2006,20
2,2267,2003,15
2,2267,2004,16
2,2335,2004,9
2,2400,2003,17
2,2400,2004,18
2,2400,2005,18
2,2400,2006,14
2,2400,2008,20
2,2400,2009,4
2,2400,2010,26
2,2400,2011,24
2,2400,2012,22
2,2400,2013,23
2,2507,2003,15
2,2507,2004,15
2,2641,2003,31
2,2641,2004,28
2,2641,2005,25
2,2874,2003,16
2,2874,2004,16
2,2874,2005,15
2,2874,2006,18
2,3289,2010,3
2,3499,2003,29
2,3499,2004,31
2,3499,2005,24
2,3499,2006,27
2,3499,2008,24
2,3499,2009,26
2,3499,2010,26
2,3499,2011,25
2,3499,2012,32
2,3499,2013,27
2,3700,2007,25
2,3700,2008,29
2,3700,2009,31
2,3700,2010,27
2,3700,2011,27
2,3744,2003,3
2,3774,2008,20
2,3774,2009,17
2,3774,2010,21
2,3774,2011,20
2,3774,2012,23
2,3774,2013,22
2,3896,2005,2
2,3902,2003,7
2,4246,2005,20
2,4246,2006,18
2,4246,2008,15
2,4246,2009,17
2,4246,2010,24
2,4246,2011,22
2,4246,2012,24
2,4246,2013,22
2,4528,2004,27
2,4528,2005,25
2,4528,2006,29
2,4793,2005,10
2,4793,2006,5
2,4793,2008,10
2,4793,2009,7
2,4793,2010,7
2,4963,2006,27
2,5106,2009,3
2,5181,2009,5
2,5352,2006,5
3,174,2007,11
3,289,2007,13
3,607,2007,5
3,752,2007,23
3,1096,2007,19
3,1188,2007,21
3,1367,2012,16
3,1367,2013,28
3,1737,2003,11
3,1737,2004,16
3,1737,2005,14
3,1737,2006,14
3,1737,2008,13
3,1737,2009,16
3,1737,2010,20
3,2124,2004,16
3,2124,2005,17
3,2124,2006,11
3,2124,2008,9
3,2124,2009,17
3,2124,2010,12
3,2124,2011,20
3,2124,2012,19
3,2124,2013,19
3,2533,2006,2
3,2533,2008,7
3,2537,2006,16
3,2537,2008,28
3,2562,2003,16
3,2650,2003,13
3,2650,2004,18
3,2650,2005,9
3,2650,2006,11
3,2650,2007,13
3,2650,2008,15
3,2650,2009,5
3,2650,2010,18
3,2650,2011,16
3,2650,2012,15
3,2650,2013,18
3,2704,2003,7
3,2951,2009,11
3,2951,2010,21
3,2951,2011,26
3,2951,2012,30
3,2951,2013,28
3,3095,2003,7
3,3095,2004,4
3,3095,2005,5
3,3095,2006,2
3,3123,2003,11
3,3123,2004,12
3,3123,2005,14
3,3123,2006,15
3,3123,2007,5
3,3123,2008,17
3,3123,2009,19
3,3123,2010,16
3,3123,2011,15
3,3123,2012,12
3,3123,2013,17
3,3245,2003,16
3,3245,2004,22
3,3245,2005,21
3,3245,2006,15
3,3245,2007,26
3,3245,2008,27
3,3245,2009,33
3,3245,2010,25
3,3245,2011,27
3,3245,2012,26
3,3245,2013,24
3,3492,2003,19
3,3492,2004,31
3,3492,2005,28
3,3492,2006,23
3,3492,2008,20
3,3492,2009,31
3,3492,2010,28
3,3492,2011,22
3,3492,2012,25
3,3492,2013,30
3,3686,2003,8
3,3950,2003,12
3,3950,2004,17
3,3950,2005,11
3,3950,2006,13
3,3950,2007,14
3,3950,2008,16
3,3950,2009,6
3,3950,2010,16
3,3950,2011,18
3,3950,2012,23
3,3950,2013,19
3,4119,2003,19
3,4178,2013,14
3,4341,2003,8
3,4341,2004,18
3,4341,2005,24
3,4341,2006,9
3,4341,2007,14
3,4402,2012,19
3,4402,2013,16
3,4452,2003,11
3,4514,2006,25
3,4570,2003,13
3,4570,2004,13
3,4570,2005,11
3,4570,2006,16
3,4570,2008,17
3,4570,2009,5
3,4570,2010,25
3,4570,2011,21
3,4570,2012,19
3,4570,2013,20
3,4963,2008,23
3,4963,2009,27
3,4963,2010,31
3,4963,2011,22
3,4963,2012,29
3,4973,2008,17
3,5113,2009,3
3,5277,2013,22
4,18,2007,19
4,74,2007,13
4,344,2007,19
4,486,2007,8
4,496,2007,18
4,665,2007,16
4,836,2007,3
4,950,2007,16
4,1017,2007,21
4,1267,2005,17
4,1267,2006,22
4,1267,2008,20
4,1267,2009,25
4,1285,2004,12
4,1285,2005,16
4,1285,2006,20
4,1285,2007,18
4,1285,2008,18
4,1285,2009,25
4,1431,2007,22
4,1431,2008,10
4,1431,2009,16
4,1431,2010,19
4,1431,2011,15
4,1431,2012,19
4,1436,2004,5
4,1436,2005,11
4,1436,2006,3
4,1482,2003,25
4,1552,2005,18
4,1648,2004,13
4,1869,2003,22
4,1869,2004,23
4,1869,2005,20
4,1869,2006,27
4,1982,2005,14
4,1982,2006,25
4,1982,2007,23
4,1982,2008,26
4,1982,2009,27
4,1982,2010,21
4,1982,2011,23
4,1982,2012,26
4,1982,2013,29
4,2115,2003,19
4,2115,2004,16
4,2115,2005,16
4,2135,2006,15
4,2135,2007,25
4,2135,2008,30
4,2135,2009,22
4,2135,2010,22
4,2135,2011,27
4,2135,2012,24
4,2135,2013,31
4,2282,2003,9
4,2282,2004,17
4,2282,2005,13
4,2282,2006,20
4,2282,2008,17
4,2282,2009,20
4,2282,2010,21
4,2282,2011,20
4,2282,2012,12
4,2282,2013,13
4,2285,2003,13
4,2285,2004,17
4,2285,2005,21
4,2285,2006,17
4,2285,2007,19
4,2285,2008,20
4,2295,2010,22
4,2295,2011,21
4,2310,2005,14
4,2367,2010,14
4,2367,2011,13
4,2367,2012,22
4,2367,2013,26
4,2482,2003,18
4,2676,2008,13
4,2676,2009,13
4,2721,2006,7
4,2721,2008,10
4,2746,2006,19
4,2746,2009,3
4,2746,2010,23
4,2746,2011,20
4,2746,2012,13
4,2746,2013,17
4,2876,2003,13
4,2876,2004,17
4,2882,2003,18
4,2882,2004,17
4,2943,2003,12
4,2943,2004,18
4,2943,2005,20
4,2943,2006,19
4,2950,2003,2
4,2976,2006,15
4,3027,2013,15
4,3261,2003,19
4,3407,2007,22
4,3408,2005,18
4,3747,2003,17
4,3747,2004,19
4,3747,2005,17
